,Model,Dataset,Balanced_accuracy,Recall,Precision,ROC_AUC
0,LogRegression Real data,Real test,0.8452804458674256,0.8888888888888888,0.2315644383184011,0.8452804458674256
0,LogRegression DistillGPT synthetic features,Synth test,0.6905834787371607,0.6058201058201058,0.153485254691689,0.6905834787371606
0,LogRegression DistillGPT synthetic features,Real test,0.7485134929105046,0.9523809523809523,0.1232876712328767,0.7485134929105046
0,LogRegression DistillGPT real features,Synth test,0.7163072509924164,0.7883597883597884,0.12967798085291557,0.7163072509924164
0,LogRegression DistillGPT real features,Real test,0.7456209449272415,0.9841269841269841,0.11835825644288896,0.7456209449272415
0,LogRegression GPT2xl synthetic features,Synth test,0.965149359886202,1.0,0.4895833333333333,0.965149359886202
0,LogRegression GPT2xl synthetic features,Real test,0.79621300672528,0.8412698412698413,0.18520675596971461,0.79621300672528
0,LogRegression GPT2xl real features,Synth test,0.9850677945582761,0.9973404255319149,0.7102272727272727,0.9850677945582761
0,LogRegression GPT2xl real features,Real test,0.8166274217501539,0.7883597883597884,0.2547008547008547,0.8166274217501539
0,LogRegression Cerebras synthetic features,Synth test,0.9680775386804197,1.0,0.5122282608695652,0.9680775386804197
0,LogRegression Cerebras synthetic features,Real test,0.7576442885941286,0.8968253968253969,0.13647342995169082,0.7576442885941286
0,LogRegression Cerebras real features,Synth test,0.9780366352480883,1.0,0.6041666666666666,0.9780366352480881
0,LogRegression Cerebras real features,Real test,0.808613270993207,0.7698412698412699,0.25326370757180156,0.8086132709932069
0,LogRegression Phi1.5 synthetic features,Synth test,0.9608825253989511,0.9973474801061007,0.46941323345817726,0.9608825253989511
0,LogRegression Phi1.5 synthetic features,Real test,0.742460176291553,0.7037037037037037,0.17780748663101603,0.742460176291553
0,LogRegression Phi1.5 real features,Synth test,0.9611492869141565,0.9973474801061007,0.47117794486215536,0.9611492869141565
0,LogRegression Phi1.5 real features,Real test,0.8104795220590312,0.791005291005291,0.23824701195219122,0.8104795220590312
