,Model,95% bound,DCRn ratio,NNDR ratio,DCRn median,NNDR median,Minimal distance
0,Real dataset,7.432462929776719,1.0,1.0,0.4552802757784251,0.8449172188634158,0.030742811948517867
0,Distilled GPT,7.832585092469808,2.7209302325581395,1.7247956403269755,0.5639640715591143,0.8909065833647021,0.11604366321262809
0,GPT2XL,6.402921897293134,0.8075011296882061,0.9753086419753086,0.4355745681051749,0.8429977852878614,0.04879173071193149
0,Cerebras,6.590318145748522,0.8365472910927456,1.0544427324088341,0.4366638933405172,0.8513714805242213,0.05110668794023778
0,Phi1.5,6.5372961355562484,0.8107741059302852,1.0554984583761562,0.4362317787501373,0.849969015326145,0.054525924000223304
